INFO 2024-03-07 17:46:48,740 autoreload Watching for file changes with StatReloader
DEBUG 2024-03-07 17:46:48,740 autoreload Waiting for apps ready_event.
DEBUG 2024-03-07 17:46:48,855 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-03-07 17:46:48,874 autoreload Watching dir C:\23\daylyplanner\backend\accounts\templates with glob **/*.
DEBUG 2024-03-07 17:46:48,874 autoreload Watching dir C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-03-07 17:46:48,875 autoreload Watching dir C:\23\daylyplanner\backend\locale with glob **/*.mo.
DEBUG 2024-03-07 17:46:48,875 autoreload Watching dir C:\23\daylyplanner\backend\accounts\locale with glob **/*.mo.
DEBUG 2024-03-07 17:46:48,875 autoreload Watching dir C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-03-07 17:46:48,875 autoreload Watching dir C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-03-07 17:46:48,948 utils (0.000) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-03-07 17:46:49,069 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1704709164.313254
DEBUG 2024-03-07 17:46:49,069 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\test\client.py first seen with mtime 1704709164.5622542
DEBUG 2024-03-07 17:46:49,069 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\encodings\cp1251.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,069 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1704709164.5752542
DEBUG 2024-03-07 17:46:49,069 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\operator.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,069 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1704709160.8712502
DEBUG 2024-03-07 17:46:49,069 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1704709164.3182538
DEBUG 2024-03-07 17:46:49,070 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1704709164.558254
DEBUG 2024-03-07 17:46:49,070 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\_adapters.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,070 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\checks.py first seen with mtime 1704770979.2083306
DEBUG 2024-03-07 17:46:49,070 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\secrets.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,070 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\email\mime\message.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,070 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_tasks.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,070 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\csv.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,070 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1704709162.4561708
DEBUG 2024-03-07 17:46:49,070 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\test\html.py first seen with mtime 1704709164.5622542
DEBUG 2024-03-07 17:46:49,070 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1704709164.589254
DEBUG 2024-03-07 17:46:49,071 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework_simplejwt\authentication.py first seen with mtime 1707720764.736687
DEBUG 2024-03-07 17:46:49,071 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\asyncio\protocols.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,071 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\asyncio\coroutines.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,071 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1704709162.4631703
DEBUG 2024-03-07 17:46:49,071 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\graphlib.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,071 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\DLLs\unicodedata.pyd first seen with mtime 1707235852.0
DEBUG 2024-03-07 17:46:49,071 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1704709162.660171
DEBUG 2024-03-07 17:46:49,071 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework_simplejwt\__init__.py first seen with mtime 1707720764.735687
DEBUG 2024-03-07 17:46:49,071 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1704709164.5792544
DEBUG 2024-03-07 17:46:49,071 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\__init__.py first seen with mtime 1704709161.2651708
DEBUG 2024-03-07 17:46:49,071 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\DLLs\_decimal.pyd first seen with mtime 1707235852.0
DEBUG 2024-03-07 17:46:49,072 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\jinja2\runtime.py first seen with mtime 1704707721.850821
DEBUG 2024-03-07 17:46:49,072 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1704709164.546254
DEBUG 2024-03-07 17:46:49,072 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\utils\__init__.py first seen with mtime 1704770979.3753302
DEBUG 2024-03-07 17:46:49,072 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\wsgiref\util.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,072 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\colorama\initialise.py first seen with mtime 1704703246.6211123
DEBUG 2024-03-07 17:46:49,072 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1704709164.6162534
DEBUG 2024-03-07 17:46:49,072 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\xml\__init__.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,072 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_itertools.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,072 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\jinja2\lexer.py first seen with mtime 1704707721.8458192
DEBUG 2024-03-07 17:46:49,072 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\wsgiref\headers.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,072 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\calendar.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,073 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1704709164.4482539
DEBUG 2024-03-07 17:46:49,073 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\email\charset.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,073 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1704709162.4611702
DEBUG 2024-03-07 17:46:49,073 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\postgresql\schema.py first seen with mtime 1704709164.4072542
DEBUG 2024-03-07 17:46:49,073 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\urls\utils.py first seen with mtime 1704709164.5722568
DEBUG 2024-03-07 17:46:49,073 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\email\message.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,073 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\compat.py first seen with mtime 1704770979.2083306
DEBUG 2024-03-07 17:46:49,073 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\abc.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,073 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\parsers.py first seen with mtime 1704770979.2143304
DEBUG 2024-03-07 17:46:49,073 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\pkgutil.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,073 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1704709160.8722496
DEBUG 2024-03-07 17:46:49,074 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\schemas\inspectors.py first seen with mtime 1704770979.2933304
DEBUG 2024-03-07 17:46:49,074 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\gzip.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,074 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\__init__.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,074 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\checks.py first seen with mtime 1704709162.6551754
DEBUG 2024-03-07 17:46:49,074 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\apps.py first seen with mtime 1704770979.2073307
DEBUG 2024-03-07 17:46:49,074 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\urllib\__init__.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,074 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\asgiref\local.py first seen with mtime 1704709161.131204
DEBUG 2024-03-07 17:46:49,074 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\enums.py first seen with mtime 1704709164.4322536
DEBUG 2024-03-07 17:46:49,074 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1704709162.6531749
DEBUG 2024-03-07 17:46:49,074 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1704709160.8772485
DEBUG 2024-03-07 17:46:49,074 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1704709161.5471716
DEBUG 2024-03-07 17:46:49,075 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1704709163.4331703
DEBUG 2024-03-07 17:46:49,075 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_futures.py first seen with mtime 1707235818.0
DEBUG 2024-03-07 17:46:49,075 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1704709164.5552545
